millis,esp2,esp3,esp4,esp5
672.2409639,0.646259301,,,
674.5120482,0.64483817,,,
676.7831325,0.646259301,,,
679.0542169,0.646259301,,,
681.3253012,0.646969866,,,
683.5963855,0.645904018,,,
685.8674699,0.648035714,,,
688.1385542,0.646259301,,,
690.4096386,0.646259301,,,
692.6807229,0.646259301,,,
694.9518072,0.647325149,,,
697.2228916,0.645548735,,,
699.4939759,0.646259301,,,
701.7650602,0.645904018,,,
704.0361446,0.646259301,,,
706.3072289,0.645904018,,,
708.5783133,0.646969866,,,
710.8493976,0.646969866,,,
713.1204819,0.646969866,,,
715.3915663,0.647325149,,,
717.6626506,0.646969866,,,
719.9337349,0.645548735,,,
722.2048193,0.646259301,,,
724.4759036,0.645904018,,,
726.746988,0.646614583,,,
729.0180723,0.646259301,,,
731.2891566,0.646259301,,,
733.560241,0.645904018,,,
735.8313253,0.64483817,,,
738.1024096,0.647325149,,,
740.373494,0.646969866,,,
742.6445783,0.647325149,,,
744.9156627,0.646969866,,,
747.186747,0.646259301,,,
749.4578313,0.646259301,,,
751.7289157,0.645548735,,,
399,,,0.606112351,
401.4036145,,,0.60469122,
403.8072289,,,0.605757068,
406.2108434,,,0.606822917,
408.6144578,,,0.607178199,
411.0180723,,,0.605757068,
413.4216867,,,0.605757068,
415.8253012,,,0.60469122,
418.2289157,,,0.605046503,
420.6325301,,,0.606822917,
423.0361446,,,0.605757068,
425.439759,,,0.604335938,
427.8433735,,,0.606822917,
430.246988,,,0.603980655,
432.6506024,,,0.606112351,
435.0542169,,,0.605757068,
437.4578313,,,0.60469122,
439.8614458,,,0.604335938,
442.2650602,,,0.604335938,
444.6686747,,,0.606467634,
447.0722892,,,0.605046503,
449.4759036,,,0.607178199,
451.8795181,,,0.606112351,
454.2831325,,,0.604335938,
456.686747,,,0.606467634,
459.0903614,,,0.607178199,
461.4939759,,,0.605046503,
463.8975904,,,0.607178199,
466.3012048,,,0.605046503,
468.7048193,,,0.603980655,
471.1084337,,,0.603980655,
473.5120482,,,0.60469122,
475.9156627,,,0.605046503,
478.3192771,,,0.60469122,
480.7228916,,,0.604335938,
483.126506,,,0.604335938,
485.5301205,,,0.60469122,
487.9337349,,,0.604335938,
490.3373494,,,0.604335938,
492.7409639,,,0.604335938,
495.1445783,,,0.606112351,
497.5481928,,,0.603625372,
499.9518072,,,0.603980655,
502.3554217,,,0.604335938,
504.7590361,,,0.605757068,
507.1626506,,,0.604335938,
509.5662651,,,0.60469122,
511.9698795,,,0.606467634,
514.373494,,,0.605046503,
516.7771084,,,0.605046503,
519.1807229,,,0.605046503,
521.5843373,,,0.604335938,
523.9879518,,,0.60469122,
526.3915663,,,0.60469122,
528.7951807,,,0.60469122,
531.1987952,,,0.604335938,
533.6024096,,,0.607178199,
536.0060241,,,0.605757068,
538.4096386,,,0.606112351,
540.813253,,,0.604335938,
543.2168675,,,0.603980655,
545.6204819,,,0.604335938,
548.0240964,,,0.605757068,
550.4277108,,,0.606112351,
552.8313253,,,0.606112351,
555.2349398,,,0.606112351,
557.6385542,,,0.60469122,
560.0421687,,,0.60469122,
562.4457831,,,0.605046503,
564.8493976,,,0.603270089,
567.253012,,,0.605046503,
569.6566265,,,0.606112351,
572.060241,,,0.606467634,
574.4638554,,,0.605757068,
576.8674699,,,0.603625372,
579.2710843,,,0.604335938,
581.6746988,,,0.606467634,
584.0783133,,,0.605046503,
586.4819277,,,0.603625372,
588.8855422,,,0.605046503,
591.2891566,,,0.607533482,
593.6927711,,,0.607178199,
596.0963855,,,0.603270089,
598.5,,,0.605757068,
600.9036145,,,0.606822917,
603.3072289,,,0.606112351,
605.7108434,,,0.606467634,
608.1144578,,,0.606112351,
610.5180723,,,0.60469122,
612.9216867,,,0.604335938,
615.3253012,,,0.605046503,
617.7289157,,,0.605046503,
620.1325301,,,0.605757068,
622.5361446,,,0.605757068,
624.939759,,,0.605757068,
627.3433735,,,0.606467634,
629.746988,,,0.605757068,
632.1506024,,,0.606112351,
634.5542169,,,0.606467634,
636.9578313,,,0.606467634,
639.3614458,,,0.606112351,
641.7650602,,,0.606112351,
644.1686747,,,0.60469122,
646.5722892,,,0.604335938,
648.9759036,,,0.604335938,
651.3795181,,,0.607178199,
653.7831325,,,0.607533482,
656.186747,,,0.604335938,
658.5903614,,,0.605046503,
660.9939759,,,0.606467634,
663.3975904,,,0.606112351,
665.8012048,,,0.605046503,
668.2048193,,,0.607533482,
